Genes	T0	T1	T2	T3	T4	T5	T6	T12	T16	T24
RO3G_14561	0	0	0	0	0	0	0	0	0	0
RO3G_14564	0	0	0	0	0	0	0	0	0	0
RO3G_14565	0	0	0	0	0	0	0	0	0	0
RO3G_14551	1.77876209846384	1.47406710330167	1.3224102022336	1.01121881809997	1.0803087250865	1.12513984163243	1.10126170816368	1.05230965795381	1.19694191179698	1.07681065971998
RO3G_14572	3.33060215118851	2.0511773125345	2.9176151015087	2.69308232415316	3.28002253645526	3.45228937154847	3.67059181693512	3.11571542104378	3.66733253784305	3.5197191232412
RO3G_14573	4.12650322191142	0	1.99009028915274	3.23044685626963	2.9964436248399	3.08906179588195	2.98909577049312	3.77693191123637	4.3576347418075	5.06173354949326
RO3G_14576	1.59129082902106	0	0	0	0	0	0	0	0	1.12780222480214
RO3G_14574	3.64072511614786	3.56311744079437	3.37526014001348	4.26965869416045	4.9336097386436	5.35813597895691	5.55532446069218	6.21605324510753	5.65034969463529	5.19458084730422
RO3G_14575	5.88453935061251	2.9080340580439	2.65805780403618	3.05063678589636	2.65217490181517	3.58459307085178	3.69593958616536	4.00622884857518	4.4070392263735	5.02452324978819
RO3G_14538	0	0	0	0	0	0	0	0	0	0
RO3G_14539	4.69033922205308	2.41474198448342	5.70942670721386	6.30197707114816	6.67639229194647	6.72989631599306	6.63585845534889	6.47118921737206	6.38438215881104	5.9267537343308
RO3G_14540	6.68532781576639	6.02267719156608	5.86816497193453	5.95237949853381	6.04382646820616	6.02521677100088	6.04115105164349	6.27300483217184	6.26808102270396	6.54072209259011
RO3G_14541	1.87323490965618	3.06250198648106	2.3937622733652	2.19674781705453	2.22674382945843	2.24150832152499	2.55577848968405	1.88656706551409	2.3437324657917	2.20371397531257
RO3G_14542	7.82291587816729	8.52024397511418	8.56960071881067	8.01188061961936	8.06967917826081	7.85473347762321	7.50160007378069	7.40144150973645	6.5711645004775	6.35065951634707
RO3G_14581	2.01421495251438	3.00899761623011	2.68139509993705	2.59334337646126	2.44615158748874	2.2134436702392	2.01739011817764	2.20434838933276	2.20544629899876	2.0757101023467
RO3G_14577	7.79527251042763	8.51567694462901	7.06986409724965	6.73987598128379	6.27920719352558	5.86719937186654	5.44839132330796	5.12421134608423	4.87257867839517	4.48578002552563
RO3G_14582	5.31867258454702	3.00538458065247	3.89007548776322	4.12880941201628	4.27814787745464	4.21872949072407	4.33580724197745	4.16813177146009	4.40370413128701	4.17816049507906
RO3G_14578	2.40902043878853	1.0792052305395	0	1.2108777214136	1.01755541196549	1.29526140962406	1.22296425384533	0	1.06445289147818	0
RO3G_14579	4.2064024753449	1.82657084647499	1.90251692169448	2.31421660006665	2.18964981394662	2.43741288627235	2.51969522049933	1.58005097112119	2.36219170826583	2.26655997477063
RO3G_14580	3.22178175235803	3.70141100827377	5.74204300441717	5.67881967566706	5.9710900503079	5.79615756150489	5.83315885698642	5.20815345491866	5.34184118197864	5.13794168922446
RO3G_14584	2.01238777889765	2.89030600001908	2.5704953314085	2.35496737723941	2.88549634479171	3.04631723740579	3.08781357834526	2.73502059869352	3.17422450079225	3.05027795731259
RO3G_14583	5.38814985384421	6.64507231036701	6.33752126315538	5.98362880537259	6.08588383759104	5.85189093778905	5.70928303653283	5.69007878767668	4.93171581182097	4.60595675264503
RO3G_14588	0	0	0	0	0	0	0	0	0	0
RO3G_14587	2.79770010656	0	0	0	0	0	0	0	0	1.13844440673771
RO3G_14590	2.60956267605009	3.57050549048647	4.37955855894184	4.25005258042366	4.24220149912618	3.99543341045046	4.14609189154659	3.99719824071589	3.59950619374063	3.42610785370324
RO3G_14586	3.29276316787064	4.19612669847916	4.06785895296667	4.81871010563938	4.70538010625628	4.69212210083117	4.7222354709537	4.08978166032074	4.35964191828986	3.71756321104164
